Simulated results for RouletteGame using Roulette1326 strategy

Session No,Duration in Rounds,Net Won,Maximum Stake
1,250,210,10380
2,250,-610,10030
3,250,1050,11160
4,250,-330,10000
5,250,-260,10390
6,250,-60,10260
7,250,20,10350
8,250,-280,10080
9,250,-150,10120
10,250,-40,10370
11,250,320,10340
12,250,-180,10270
13,250,-130,10140
14,250,-760,10070
15,250,-110,10180
16,250,-480,10070
17,250,-370,10040
18,250,-280,10170
19,250,-330,10040
20,250,-10,10350
21,250,-140,10160
22,250,-60,10170
23,250,-350,10160
24,250,70,10310
25,250,-510,10000
26,250,-880,10000
27,250,-430,10210
28,250,-710,10060
29,250,-430,10240
30,250,-630,10000
31,250,-230,10330
32,250,-620,10230
33,250,-260,10160
34,250,-420,10000
35,250,-750,10120
36,250,-650,10100
37,250,-710,10080
38,250,-270,10020
39,250,-290,10030
40,250,-480,10060
41,250,-990,10000
42,250,-620,10020
43,250,-580,10020
44,250,-610,10060
45,250,-870,10010
46,250,-280,10070
47,250,-110,10190
48,250,-270,10160
49,250,-430,10010
50,250,-70,10100

Durations: Mean 250.0 and Standard Deviation 0.0

Maxima: Mean 10157.8 and Standard Deviation 188.2
